epoch,train_loss,test_loss,accuracy,precision,recall,f1_score,roc_auc
1,72.72311812605065,4.5639463118181425,0.7073832790445168,0.7902097902097902,0.7908242612752722,0.7905169063350175,0.7125819562079729
2,3.3054487717783982,0.6173289815584818,0.748099891422367,0.7443519619500595,0.973561430793157,0.8436657681940701,0.5495583315618112
3,0.6548142269362538,0.5720421277738937,0.761129207383279,0.7569866342648846,0.968895800933126,0.849931787175989,0.6172421316446065
4,0.6129049372603974,0.5546830287779582,0.7692725298588491,0.7699059561128526,0.9548989113530326,0.852481777160708,0.6538126419548653
5,0.6081915254411898,0.5576762359641921,0.7730727470141151,0.78665785997358,0.9261275272161742,0.8507142857142858,0.691509001197176
6,0.6047927028282098,0.520589629776703,0.7871878393051032,0.7895077720207254,0.947900466562986,0.8614840989399293,0.7210677803014198
7,0.5844488131007938,0.5310545820625545,0.7812160694896851,0.7921906022501655,0.9307931570762052,0.855917053986414,0.7124036385199771
8,0.5636835269803957,0.5144801423293371,0.7861020629750272,0.7911227154046997,0.942457231726283,0.8601845280340668,0.7216383969030065
9,0.5667619857889663,0.5212876389003344,0.7833876221498371,0.775980087118855,0.9696734059097978,0.8620808848945731,0.7247467189545408
10,0.5632346979911783,0.5155314893080538,0.7882736156351792,0.7846251588310038,0.9603421461897356,0.8636363636363636,0.7237138749342673
11,0.5574740238946778,0.5119909551257549,0.7904451682953312,0.788831835686778,0.9556765163297045,0.8642756680731364,0.7297445092137799
12,0.5589384155867362,0.5163951747192234,0.7812160694896851,0.7761100687929956,0.9650077760497667,0.860311958405546,0.7306339997986059
13,0.5531683197803312,0.5178463734710643,0.7850162866449512,0.7820025348542459,0.9595645412130638,0.861731843575419,0.7315444689349608
14,0.554505495578779,0.5190413427598831,0.7806731813246471,0.7675970873786407,0.9836702954898912,0.8623040218132243,0.737526153260906
15,0.5482074775740978,0.5240148704551589,0.7703583061889251,0.7576119402985074,0.9867807153965785,0.8571428571428571,0.7380345334929567
16,0.547744227994453,0.5098184226454923,0.7812160694896851,0.7754210854647536,0.9665629860031104,0.8605053651782624,0.7434546919229779
17,0.550435481200386,0.5224828581921311,0.7904451682953312,0.7873563218390804,0.9587869362363919,0.864656381486676,0.7338157467804917
18,0.5567644693411063,0.5054861104902564,0.7899022801302932,0.7821720025109855,0.968895800933126,0.8655783258075721,0.744713405014713
19,0.5461016721777547,0.5084611390364416,0.7828447339847991,0.7731196054254007,0.9751166407465007,0.8624484181568088,0.7517580026181232
20,0.543350006565591,0.5105671248399732,0.7790445168295331,0.7752035065748278,0.9626749611197511,0.8588276101283385,0.7535551651991005
21,0.5402994316234707,0.5001115098061701,0.7866449511400652,0.7827739075364154,0.9611197511664075,0.86282722513089,0.7574599729236828
22,0.5438180579610268,0.506330559456905,0.7828447339847991,0.7810913705583756,0.9572317262830482,0.8602375960866527,0.758308904975553
23,0.5429534857472084,0.5047978929018483,0.7844733984799132,0.7752321981424148,0.973561430793157,0.8631506377111341,0.7633185830806584
24,0.5407099275243397,0.4996734631372197,0.7915309446254072,0.7815230961298377,0.973561430793157,0.8670360110803325,0.766907313962205
25,0.5379975737993621,0.49740198063669194,0.7882736156351792,0.7912873862158648,0.9463452566096423,0.8618980169971672,0.7677275753269858
26,0.5402099164751902,0.49653214523639533,0.7899022801302932,0.7850348763474952,0.9626749611197511,0.8648271044359064,0.7688953813620953
27,0.539370385769317,0.4966635427697603,0.7888165038002172,0.7836812144212524,0.963452566096423,0.8643181025462155,0.7693198473880305
28,0.5654696150116969,0.5035782314667095,0.7866449511400652,0.782416192283365,0.9618973561430794,0.862922915940007,0.7708946373228012
29,0.5365668695295708,0.488181192925388,0.7915309446254072,0.7936197916666666,0.947900466562986,0.8639262934089298,0.7734645098850934
30,0.5347369117207637,0.4954054231364098,0.7893593919652552,0.781328320802005,0.9696734059097978,0.8653712699514227,0.7744162368394554
